City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Ushuaia,AR,-54.8,-68.3,2022-06-18 18:50:09,29.86,86,40,18.41,shower snow
1,Floro,NO,61.5996,5.0328,2022-06-18 18:50:09,53.56,71,75,24.16,broken clouds
2,Souillac,MU,-20.5167,57.5167,2022-06-18 18:50:10,68.38,88,40,8.05,scattered clouds
3,Boende,CD,-0.2167,20.8667,2022-06-18 18:50:10,70.29,93,96,0.63,overcast clouds
4,Torbay,CA,47.6666,-52.7314,2022-06-18 18:50:11,63.37,64,75,28.77,broken clouds
5,Keuruu,FI,62.2667,24.7,2022-06-18 18:50:11,57.79,98,100,5.35,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,2022-06-18 18:50:11,50.81,77,5,14.61,light rain
7,Cidreira,BR,-30.1811,-50.2056,2022-06-18 18:47:01,53.78,57,2,13.24,clear sky
8,Mar Del Plata,AR,-38.0023,-57.5575,2022-06-18 18:49:08,56.08,45,0,13.8,clear sky
9,Saldanha,ZA,-33.0117,17.9442,2022-06-18 18:50:12,55.45,69,12,9.42,few clouds
10,Arraial Do Cabo,BR,-22.9661,-42.0278,2022-06-18 18:50:13,75.16,78,40,14.97,scattered clouds
11,Ostrovnoy,RU,68.0531,39.5131,2022-06-18 18:50:13,40.15,96,100,9.46,overcast clouds
12,Victoria,HK,22.2855,114.1577,2022-06-18 18:49:04,84.38,85,100,11.01,overcast clouds
13,Longyearbyen,SJ,78.2186,15.6401,2022-06-18 18:50:13,42.64,75,75,14.97,broken clouds
14,Jamestown,US,42.097,-79.2353,2022-06-18 18:50:14,63.95,46,3,8.01,clear sky
15,Umm Lajj,SA,25.0213,37.2685,2022-06-18 18:50:14,88.05,50,0,7.34,clear sky
16,Iqaluit,CA,63.7506,-68.5145,2022-06-18 18:50:15,47.93,53,20,6.91,few clouds
17,Lebu,CL,-37.6167,-73.65,2022-06-18 18:50:15,49.37,65,100,0.85,overcast clouds
18,Mahibadhoo,MV,3.7833,72.9667,2022-06-18 18:50:15,82.81,75,100,11.12,overcast clouds
19,Ambilobe,MG,-13.2,49.05,2022-06-18 18:50:16,69.6,88,1,2.77,clear sky
20,Ponta Do Sol,PT,32.6667,-17.1,2022-06-18 18:50:16,76.01,78,14,6.29,few clouds
21,Piacabucu,BR,-10.4056,-36.4344,2022-06-18 18:50:16,78.37,81,10,5.82,clear sky
22,Weligama,LK,5.9667,80.4167,2022-06-18 18:50:17,78.12,86,100,4.88,overcast clouds
23,Malakal,SS,9.5334,31.6605,2022-06-18 18:50:17,80.89,53,100,4.54,overcast clouds
24,Busselton,AU,-33.65,115.3333,2022-06-18 18:50:18,59.18,70,86,20.4,overcast clouds
25,Riyadh,SA,24.6877,46.7219,2022-06-18 18:45:57,102.34,7,0,2.89,clear sky
26,Dikson,RU,73.5069,80.5464,2022-06-18 18:50:18,29.55,93,17,11.25,few clouds
27,Mattru,SL,7.6244,-11.8332,2022-06-18 18:50:18,74.17,94,100,3.15,light rain
28,Atasu,KZ,48.6814,71.6433,2022-06-18 18:50:19,67.12,50,31,3.65,scattered clouds
29,Ipixuna,BR,-1.7625,-48.8043,2022-06-18 18:50:19,83.5,66,100,2.37,overcast clouds
30,Grindavik,IS,63.8424,-22.4338,2022-06-18 18:50:19,52.27,76,0,13.8,clear sky
31,Bulaevo,KZ,54.9056,70.4439,2022-06-18 18:50:20,59.2,90,17,2.44,few clouds
32,Clyde River,CA,70.4692,-68.5914,2022-06-18 18:50:20,41.23,70,0,29.93,clear sky
33,Osmaniye,TR,37.0742,36.2478,2022-06-18 18:50:21,74.53,85,0,3.98,clear sky
